Monthly Report for the month of March 2024,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMarch,2024","No. of Foliosas on March,2024","FundsMobilizedfor themonth ofMarch 2024(INR incrore)","Repurchase/Redemptionfor themonth ofMarch 2024(INR incrore)","Net AssetsUnderManagement as onMarch, 2024(INR incrore)","Average NetAssets UnderManagement for themonthMarch 2024(INR incrore)","No. ofsegregatedportfolioscreatedas onMarch,2024","NetAssetsUnderManagement insegregatedportfolio as onMarch,2024(INR incrore)"
"",Sub Total (i+ii),26,"3,15,597",-,333.91,"4,423.67","4,444.49",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,140,"4,68,819",102.64,"2,288.72","29,051.76","30,269.58",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,791",10.00,282.78,734.93,910.48,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,791",10.00,282.78,734.93,910.48,-,-
"",,,,,,,,,
"",Grand Total,"1,441","14,73,75,502","8,58,771.53","8,01,351.08","43,20,468.34","42,94,787.67",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,76,"18,83,274",821.85,810.38,"67,138.20","66,569.57",-,-
Monthly Report for the month of April 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onApril 30,2023","No. of Foliosas on April30, 2023","FundsMobilizedfor themonth ofApril 2023(INR incrore)","Repurchase/Redemptionfor themonth ofApril 2023(INR incrore)","Net AssetsUnderManagement as on April30, 2023(INR incrore)","Average NetAssets UnderManagement for themonth April2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onApril 30,2023","NetAssetsUnderManagement insegregatedportfolio as onApril 30,2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,59,479","3,77,180.36","3,71,073.01","1,02,344.65","1,15,719.43",-,-
ii,Liquid Fund,36,"17,75,399","3,12,871.77","2,49,652.44","3,97,785.67","4,26,709.75",-,-
iii,Ultra Short Duration Fund,25,"6,32,337","21,919.19","11,256.59","90,295.37","87,453.31",-,-
iv,Low Duration Fund,21,"9,35,894","11,249.14","5,785.89","92,765.19","89,949.11",1,-
v,Money Market Fund,22,"4,22,740","31,153.73","17,192.77","1,22,783.89","1,19,131.92",-,-
vi,Short Duration Fund,25,"5,04,524","3,348.54","1,565.73","94,187.95","93,213.23",-,-
vii,Medium Duration Fund,15,"2,55,984",514.18,508.53,"27,387.95","27,268.21",3,-
viii,Medium to Long Duration Fund,12,"1,06,795",665.13,66.86,"9,610.30","9,269.27",-,-
ix,Long Duration Fund,7,"46,138",123.73,54.04,"9,037.48","8,905.11",-,-
x,Dynamic Bond Fund,22,"2,30,966",595.06,233.07,"30,010.05","29,724.85",-,-
xi,Corporate Bond Fund,21,"6,13,934","2,900.41","2,848.13","1,32,770.87","1,32,173.39",-,-
xii,Credit Risk Fund,15,"2,43,984",85.35,441.46,"24,687.65","24,783.33",3,-
xiii,Banking and PSU Fund,23,"2,95,048","1,033.04","1,182.55","81,129.06","80,713.59",-,-
xiv,Gilt Fund,22,"1,77,311",690.50,255.99,"22,170.54","21,906.46",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,343",582.91,29.35,"4,380.60","4,188.67",-,-
xvi,Floater Fund,13,"2,34,702","5,741.67","1,830.91","57,358.85","55,050.01",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",316,"71,77,578","7,70,654.68","6,63,977.32","12,98,706.08","13,26,159.65",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,19,"41,74,058","1,225.71","1,019.44","70,518.48","68,925.96",-,-
ii,Large Cap Fund,31,"1,29,55,752","2,706.72","2,654.09","2,44,610.92","2,40,355.41",-,-
iii,Large & Mid Cap Fund,26,"78,44,968","2,316.56","1,577.85","1,33,689.15","1,30,685.16",-,-
iv,Mid Cap Fund,29,"1,06,95,532","3,677.11","1,886.13","1,92,564.46","1,88,004.14",-,-
v,Small Cap Fund,24,"1,11,25,117","3,592.70","1,410.25","1,42,211.57","1,38,013.19",-,-
vi,Dividend Yield Fund,9,"7,30,675",312.60,190.03,"14,471.62","14,217.64",-,-
vii,Value Fund/Contra Fund,22,"47,14,942","1,254.75",963.66,"94,049.63","92,198.81",-,-
viii,Focused Fund,26,"52,96,509","1,328.53","1,459.44","1,02,984.98","1,00,890.20",-,-
ix,Sectoral/Thematic Funds,127,"1,32,28,388","4,233.47","3,619.03","1,78,977.88","1,75,198.97",-,-
x,ELSS,42,"1,52,79,990","1,523.09","1,461.93","1,57,972.09","1,54,787.62",-,-
xi,Flexi Cap Fund,35,"1,27,15,541","3,230.27","2,679.37","2,52,500.26","2,46,916.99",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),390,"9,87,61,472","25,401.51","18,921.21","15,84,551.04","15,50,194.08",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,16,833",215.16,420.14,"23,351.93","23,307.01",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,04,415","1,491.22","1,922.76","1,58,740.82","1,56,742.56",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"44,43,726","2,964.87","3,036.02","1,96,967.21","1,95,105.78",-,-
iv,Multi Asset Allocation Fund,11,"10,67,029",752.39,307.66,"27,739.87","28,705.42",-,-
v,Arbitrage Fund,26,"4,44,440","7,908.02","4,191.79","71,106.00","81,242.95",-,-
vi,Equity Savings Fund,22,"3,59,867",464.95,601.25,"16,399.37","16,759.93",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),139,"1,21,36,310","13,796.61","10,479.62","4,94,305.19","5,01,863.65",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,62,964",262.87,123.15,"18,730.74","18,334.37",-,-
ii,Childrens Fund,10,"29,28,945",103.05,49.20,"14,817.62","14,576.75",-,-
"",Sub Total - IV (i+ii),36,"56,91,909",365.92,172.35,"33,548.37","32,911.11",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,181,"40,20,423","2,759.77","2,612.41","1,71,093.49","1,69,690.32",-,-
ii,GOLD ETF,13,"47,12,199",270.59,146.06,"22,949.99","22,909.38",-,-
iii,Other ETFs,160,"1,21,10,751","11,873.90","5,083.44","5,02,160.43","4,92,705.07",-,-
iv,Fund of funds investing overseas,50,"13,15,347",211.12,328.26,"22,638.85","22,821.33",-,-
"",Sub Total - V (i+ii+iii+iv),404,"2,21,58,720","15,115.38","8,170.16","7,18,842.76","7,08,126.09",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,285","14,59,25,989","8,25,334.10","7,01,720.67","41,29,953.43","41,19,254.58",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,114,"1,49,489",-,973.17,"23,623.12","24,297.05",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,646.04,642.73,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"1,996.50","1,990.97",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),128,"1,62,195",-,973.17,"26,265.65","26,930.75",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,96,030",-,25.37,"3,486.28","3,442.27",-,-
ii,Other Equity Schemes,8,"29,017",-,"1,179.44","1,112.08","2,085.65",-,-
"",Sub Total (i+ii),27,"3,25,047",-,"1,204.82","4,598.36","5,527.92",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,155,"4,87,242",-,"2,177.98","30,864.01","32,458.67",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,826",0.00,0.65,"1,004.17","1,002.11",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,826",0.00,0.65,"1,004.17","1,002.11",-,-
"",,,,,,,,,
"",Grand Total,"1,452","14,64,16,057","8,25,334.10","7,03,899.30","41,61,821.62","41,52,715.36",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  76","18,71,656","1,123.64","2,951.29","65,718.25","66,441.11",-,-
